4,308,123,1680503469.7037218
3,604,121,1680503469.7047195
5,699,128,1680503469.730722
4,309,124,1680503469.731723
3,605,121,1680503469.731723
5,698,131,1680503469.7567182
5,701,129,1680503469.7797217
5,701,132,1680503469.8017309
7,313,124,1680503469.802722
5,700,132,1680503469.82673
8,530,126,1680503469.8277245
7,315,124,1680503469.8277245
9,607,121,1680503469.8287199
10,475,120,1680503469.8287199
11,352,423,1680503469.8497212
5,701,132,1680503469.8507223
8,530,126,1680503469.8517218
7,313,123,1680503469.852723
9,611,121,1680503469.8537238
10,474,120,1680503469.854729
11,352,422,1680503469.877721
5,702,133,1680503469.877721
8,532,125,1680503469.8787227
7,317,124,1680503469.879721
9,611,121,1680503469.879721
10,472,119,1680503469.8807197
11,353,422,1680503469.9047391
5,702,134,1680503469.906749
8,533,126,1680503469.907739
7,319,124,1680503469.908722
10,472,120,1680503469.908722
11,351,423,1680503469.9317322
5,703,132,1680503469.9317322
8,534,126,1680503469.9327207
7,320,125,1680503469.9327207
7,318,126,1680503469.933721
10,471,120,1680503469.933721
11,350,423,1680503469.9617321
5,705,133,1680503469.96272
8,535,124,1680503469.96272
7,321,124,1680503469.9637206
13,615,121,1680503469.9637206
10,468,120,1680503469.9647222
11,351,423,1680503469.9967186
5,704,134,1680503469.9977202
8,536,125,1680503469.9987202
7,322,124,1680503469.9987202
13,616,120,1680503469.9997196
10,467,120,1680503469.9997196
11,349,423,1680503470.0317202
5,708,136,1680503470.0327208
8,537,125,1680503470.0327208
7,324,124,1680503470.033721
13,617,121,1680503470.0347223
10,466,120,1680503470.0347223
11,349,424,1680503470.0647204
5,706,135,1680503470.0647204
7,325,125,1680503470.06572
8,538,124,1680503470.06572
10,465,121,1680503470.0667205
11,348,424,1680503470.096719
5,706,135,1680503470.0977204
7,326,125,1680503470.0977204
8,540,124,1680503470.0987322
10,465,121,1680503470.0987322
11,348,424,1680503470.12672
5,708,135,1680503470.12672
8,540,124,1680503470.1277204
7,327,124,1680503470.1277204
10,463,121,1680503470.1287198
16,620,120,1680503470.1287198
11,346,425,1680503470.1547291
5,708,138,1680503470.1567438
8,544,125,1680503470.1587265
7,329,125,1680503470.1597254
16,622,121,1680503470.1597254
10,461,120,1680503470.1607206
11,346,425,1680503470.1857216
17,110,203,1680503470.1887286
5,708,138,1680503470.1897244
8,543,125,1680503470.1917386
7,330,125,1680503470.1917386
16,622,120,1680503470.192723
10,460,121,1680503470.192723
11,346,426,1680503470.2167192
17,110,204,1680503470.2177224
5,710,139,1680503470.2177224
7,331,125,1680503470.2187228
8,545,124,1680503470.2207396
16,624,120,1680503470.2227278
10,459,120,1680503470.223752
11,345,426,1680503470.2467198
5,711,138,1680503470.2467198
8,545,125,1680503470.2477202
7,332,125,1680503470.2477202
16,626,120,1680503470.2487202
10,458,120,1680503470.2487202
11,344,426,1680503470.2747197
5,711,140,1680503470.275721
7,334,126,1680503470.275721
8,547,125,1680503470.2767465
16,627,120,1680503470.2777226
10,456,120,1680503470.2777226
11,344,426,1680503470.305721
5,712,139,1680503470.306756
7,334,126,1680503470.3077316
8,548,124,1680503470.3087244
10,455,121,1680503470.3097205
16,627,120,1680503470.3097205
11,343,427,1680503470.35172
5,713,139,1680503470.352722
7,336,125,1680503470.353743
8,549,124,1680503470.3557305
16,629,120,1680503470.356733
10,453,119,1680503470.356733
11,343,426,1680503470.3907192
5,714,142,1680503470.3917336
7,337,125,1680503470.3917336
8,550,124,1680503470.3927195
8,526,124,1680503470.3927195
16,629,120,1680503470.3937206
10,452,120,1680503470.3937206
11,342,428,1680503470.4217205
5,714,141,1680503470.4217205
7,338,126,1680503470.422721
8,551,124,1680503470.4237218
8,528,124,1680503470.4237218
10,451,121,1680503470.4247286
16,630,120,1680503470.4267514
11,340,427,1680503470.4507186
5,716,142,1680503470.451722
7,339,125,1680503470.4527276
8,553,124,1680503470.4547246
8,529,124,1680503470.4557207
16,632,120,1680503470.4567263
10,449,121,1680503470.4567263
11,340,428,1680503470.4777224
19,230,174,1680503470.4787214
5,717,142,1680503470.4787214
7,341,126,1680503470.4797232
8,554,124,1680503470.4807253
16,633,120,1680503470.481739
10,448,121,1680503470.4827292
11,339,428,1680503470.5107203
5,717,143,1680503470.5117226
7,342,126,1680503470.5127254
8,555,124,1680503470.5137234
8,532,124,1680503470.5147443
16,634,120,1680503470.5177212
10,446,121,1680503470.5187228
11,338,427,1680503470.547719
20,688,221,1680503470.5487225
5,718,144,1680503470.5487225
7,344,126,1680503470.549721
8,556,124,1680503470.549721
8,532,124,1680503470.5507207
16,635,120,1680503470.5517216
10,445,121,1680503470.5517216
11,336,428,1680503470.588724
21,446,391,1680503470.589724
20,688,221,1680503470.589724
22,108,206,1680503470.5907197
5,720,145,1680503470.5907197
7,345,126,1680503470.5917425
8,557,124,1680503470.5917425
8,533,124,1680503470.5927198
16,636,120,1680503470.5927198
10,444,121,1680503470.5937195
11,336,428,1680503470.6237223
21,446,391,1680503470.6237223
20,687,221,1680503470.6247206
22,107,206,1680503470.6247206
5,720,146,1680503470.6257203
7,346,126,1680503470.6257203
8,558,124,1680503470.6267362
8,534,123,1680503470.6267362
10,442,121,1680503470.6277218
16,637,120,1680503470.6277218
11,335,428,1680503470.6567373
21,446,392,1680503470.6577232
20,688,221,1680503470.6577232
5,722,148,1680503470.6587203
7,347,126,1680503470.6587203
8,558,124,1680503470.6597207
8,535,123,1680503470.6597207
16,638,120,1680503470.66072
10,442,120,1680503470.66072
11,334,429,1680503470.686721
21,445,393,1680503470.6877317
25,229,175,1680503470.6897244
5,722,147,1680503470.690722
7,349,126,1680503470.6917486
8,560,124,1680503470.6927214
8,538,121,1680503470.6927214
10,440,122,1680503470.6927214
